Architecture,LearningRate,Epochs,Accuracy
64 10 10 10 1,10,0.001,.54000000000000000000
64 10 10 10 1,10,0.005,.51333333333333333333
64 10 10 10 1,10,0.01,.57333333333333333333
64 10 10 10 1,10,0.05,.52666666666666666666
64 10 10 10 1,10,0.1,.50666666666666666666
64 10 10 10 1,20,0.001,.54000000000000000000
64 10 10 10 1,20,0.005,.50666666666666666666
64 10 10 10 1,20,0.01,.55333333333333333333
64 10 10 10 1,20,0.05,.56666666666666666666
64 10 10 10 1,20,0.1,.44666666666666666666
64 10 10 10 1,50,0.001,.48666666666666666666
64 10 10 10 1,50,0.005,.51333333333333333333
64 10 10 10 1,50,0.01,.57333333333333333333
64 10 10 10 1,50,0.05,.60000000000000000000
64 10 10 10 1,50,0.1,.55333333333333333333
64 10 10 10 1,100,0.001,.52666666666666666666
64 10 10 10 1,100,0.005,.58666666666666666666
64 10 10 10 1,100,0.01,.58666666666666666666
64 10 10 10 1,100,0.05,.64000000000000000000
64 10 10 10 1,100,0.1,.67333333333333333333
64 10 10 10 1,200,0.001,.52000000000000000000
64 10 10 10 1,200,0.005,.54666666666666666666
64 10 10 10 1,200,0.01,.60666666666666666666
64 10 10 10 1,200,0.05,.62000000000000000000
64 10 10 10 1,200,0.1,.58666666666666666666
64 22 22 22 1,10,0.001,.54000000000000000000
64 22 22 22 1,10,0.005,.54000000000000000000
64 22 22 22 1,10,0.01,.53333333333333333333
64 22 22 22 1,10,0.05,.58666666666666666666
64 22 22 22 1,10,0.1,.58666666666666666666
64 22 22 22 1,20,0.001,.58000000000000000000
64 22 22 22 1,20,0.005,.58666666666666666666
64 22 22 22 1,20,0.01,.57333333333333333333
64 22 22 22 1,20,0.05,.68000000000000000000
64 22 22 22 1,20,0.1,.66000000000000000000
64 22 22 22 1,50,0.001,.58000000000000000000
64 22 22 22 1,50,0.005,.58000000000000000000
64 22 22 22 1,50,0.01,.67333333333333333333
64 22 22 22 1,50,0.05,.61333333333333333333
64 22 22 22 1,50,0.1,.70666666666666666666
64 22 22 22 1,100,0.001,.50666666666666666666
64 22 22 22 1,100,0.005,.71333333333333333333
64 22 22 22 1,100,0.01,.65333333333333333333
64 64 64 64 1,10,0.001,.56000000000000000000
64 64 64 64 1,10,0.005,.66000000000000000000
64 64 64 64 1,10,0.01,.66666666666666666666
64 64 64 64 1,10,0.05,.69333333333333333333
64 64 64 64 1,10,0.1,.65333333333333333333
64 64 64 64 1,20,0.001,.55333333333333333333
64 64 64 64 1,20,0.005,.74000000000000000000
64 64 64 64 1,20,0.01,.73333333333333333333
64 64 64 64 1,20,0.05,.64666666666666666666
64 64 64 64 1,20,0.1,.62000000000000000000
64 64 64 64 1,50,0.001,.63333333333333333333
64 64 64 64 1,50,0.005,.72000000000000000000
64 64 64 64 1,50,0.01,.77333333333333333333
64 64 64 64 1,50,0.05,.67333333333333333333
64 64 64 64 1,50,0.1,.64666666666666666666
64 64 64 64 1,100,0.001,.66666666666666666666
64 64 64 64 1,100,0.005,.74666666666666666666
64 64 64 64 1,100,0.01,.74000000000000000000
64 64 64 64 1,100,0.05,.68666666666666666666
64 64 64 64 1,100,0.1,.61333333333333333333
64 64 64 64 1,200,0.001,.66666666666666666666
64 64 64 64 1,200,0.005,.70666666666666666666
64 64 64 64 1,200,0.01,.73333333333333333333
64 64 64 64 1,200,0.05,.67333333333333333333
64 64 64 64 1,200,0.1,.62000000000000000000
